,titles,dates,writer,text
0,"Bikin Kolesterol Minta Ampun, Ini 8 Manfaat Bawang Putih "," Selasa, 02 Agustus 2022 | 16:12 WIB   Reporter: Tri Sulistiowati ",Reporter: Tri Sulistiowati,"  KONTAN.CO.ID - JAKARTA. Bawang putih, bumbu dapur yang populer dalam dunia pengobatan alternatif. Selain menurunkan kolesterol, ini 8 manfaat bawang putih.    Bawang putih biasanya digunakan sebagai bumbu masak.          Baca Juga: Bikin Kolesterol Rontok, Ini Manfaat Ketumbar untuk Kesehatan   Namun, siapa sangka bila bawang putih juga populer dalam pengobatan alternatif.   Bawang putih disebut-sebut manjur mengobati sejumlah penyakit.   Mengutip dari buku Penyakit Asam Urat Kandas Berkat Herbal, karya Ersi Herlina STP, dalam 100 gram bawang putih mengandung:    Air 71 gram  Kalori 122  Protein 7 gram   Lemak 0,3 gram   Karbohidrat 24,6 gram   Kalsium 42 mg  Fosfor 109 mg  Besi 1,5 mg Kalium 377 mg    Kandungan tersebutlah yang membuat bawang putih berkhasiat sebagai obat herbal.   Manfaat bawang putih   Berikut manfaat bawang putih untuk kesehatan yang harus Anda ketahui:   1. Memelihara kesehatan jantung    Melansir dari Kompas.com, minyak bawang putih mengandung diallyl trisulfide yang berperan untuk melindungi jantung setelah bedah atau serangan jantung.    2. Meredakan pilek    Melansir dari buku berjudul Khasiat & Manfaat Madu Herbal, karya dr. Adji Suranto, SpA, bawang putih yang dicampur madu efektif mengobati pilek.     Untuk merasakan manfaatnya Anda cukup haluskan tiga sampai empat siung bawang putih.   Anda haluskan sampai halus lalu tambahkan madu 450 gram secara sedikit demi sedikit.    Anda konsumsi satu sendok madu bawnag putih tersebut tiga kali sehari.    3. Kanker paru-paru   Bawang putih mengandung antioksidan yang mampu melindungi seseorang dari kanker paru-paru.    Anda cukup konsumsibawang putih mentah dua kali seminggu agar terhindar dari kanker paru-paru.     4. Asam urat    Untuk Anda yang enggan minum obat kimia, bawang putih bisa jadi solusi mengobati asam urat.    Hal ini disebabkan bawnag putih mengandung antioksidan yang mampu mengontrol produksi purin dalam tubuh.    5. Meningkatkan daya tahan tubuh    Bawang putih juga bermanfaat untuk meningkatkan daya tahan tubuh karena mengandung antioksidan.    6. Menurunkan darah tinggi    Bawang putih mengandung kalium yang bermanfaat mengontrol tekanan darah dalam tubuh.    7. Mengurangi gejala diabetes  Bawang putih mengandung antioksidan yang berperan untuk mengendalikan kadar gula dalam darah.    8. Menurunkan kolesterol    Bawang putih mengandung alisin yang bermanfaat meluruhkan kolesterol dan lemak dalam tubuh.    9. Menurunkan berat badan   Mengutip dari Livestrong.com, bawang putih mengandung quercetin yang bermanfaat untuk membakar kalori.    Untuk mendapatkan manfaatnya, Anda cukup mengonsumsi bawang putih secara rutin.  Baca Juga: 4 Gaya Hidup yang Membuat Kadar Kolesterol Stabil   Cek Berita dan Artikel yang lain di Google News             Editor: Tri Sulistiowati                                   INDEKS BERITA                          Tag    unlisted Jangan Lewatkan Bawang Putih Manfaat Bawang Putih  Kolesterol  Diabetes pilek Darah Tinggi  Asam Urat               "
1,"Bikin Kolesterol Minta Ampun, Ini 8 Manfaat Bawang Putih "," Selasa, 02 Agustus 2022 | 16:12 WIB   Reporter: Tri Sulistiowati ",Reporter: Tri Sulistiowati,"  KONTAN.CO.ID - JAKARTA. Bawang putih, bumbu dapur yang populer dalam dunia pengobatan alternatif. Selain menurunkan kolesterol, ini 8 manfaat bawang putih.    Bawang putih biasanya digunakan sebagai bumbu masak.          Baca Juga: Bikin Kolesterol Rontok, Ini Manfaat Ketumbar untuk Kesehatan   Namun, siapa sangka bila bawang putih juga populer dalam pengobatan alternatif.   Bawang putih disebut-sebut manjur mengobati sejumlah penyakit.   Mengutip dari buku Penyakit Asam Urat Kandas Berkat Herbal, karya Ersi Herlina STP, dalam 100 gram bawang putih mengandung:    Air 71 gram  Kalori 122  Protein 7 gram   Lemak 0,3 gram   Karbohidrat 24,6 gram   Kalsium 42 mg  Fosfor 109 mg  Besi 1,5 mg Kalium 377 mg    Kandungan tersebutlah yang membuat bawang putih berkhasiat sebagai obat herbal.   Manfaat bawang putih   Berikut manfaat bawang putih untuk kesehatan yang harus Anda ketahui:   1. Memelihara kesehatan jantung    Melansir dari Kompas.com, minyak bawang putih mengandung diallyl trisulfide yang berperan untuk melindungi jantung setelah bedah atau serangan jantung.    2. Meredakan pilek    Melansir dari buku berjudul Khasiat & Manfaat Madu Herbal, karya dr. Adji Suranto, SpA, bawang putih yang dicampur madu efektif mengobati pilek.     Untuk merasakan manfaatnya Anda cukup haluskan tiga sampai empat siung bawang putih.   Anda haluskan sampai halus lalu tambahkan madu 450 gram secara sedikit demi sedikit.    Anda konsumsi satu sendok madu bawnag putih tersebut tiga kali sehari.    3. Kanker paru-paru   Bawang putih mengandung antioksidan yang mampu melindungi seseorang dari kanker paru-paru.    Anda cukup konsumsibawang putih mentah dua kali seminggu agar terhindar dari kanker paru-paru.     4. Asam urat    Untuk Anda yang enggan minum obat kimia, bawang putih bisa jadi solusi mengobati asam urat.    Hal ini disebabkan bawnag putih mengandung antioksidan yang mampu mengontrol produksi purin dalam tubuh.    5. Meningkatkan daya tahan tubuh    Bawang putih juga bermanfaat untuk meningkatkan daya tahan tubuh karena mengandung antioksidan.    6. Menurunkan darah tinggi    Bawang putih mengandung kalium yang bermanfaat mengontrol tekanan darah dalam tubuh.    7. Mengurangi gejala diabetes  Bawang putih mengandung antioksidan yang berperan untuk mengendalikan kadar gula dalam darah.    8. Menurunkan kolesterol    Bawang putih mengandung alisin yang bermanfaat meluruhkan kolesterol dan lemak dalam tubuh.    9. Menurunkan berat badan   Mengutip dari Livestrong.com, bawang putih mengandung quercetin yang bermanfaat untuk membakar kalori.    Untuk mendapatkan manfaatnya, Anda cukup mengonsumsi bawang putih secara rutin.  Baca Juga: 4 Gaya Hidup yang Membuat Kadar Kolesterol Stabil   Cek Berita dan Artikel yang lain di Google News             Editor: Tri Sulistiowati                                   INDEKS BERITA                          Tag    unlisted Jangan Lewatkan Bawang Putih Manfaat Bawang Putih  Kolesterol  Diabetes pilek Darah Tinggi  Asam Urat               "
2,"Resep Buncis Krispi Bawang Putih, Harum dan Nikmat di Lidah"," Jumat, 29 Juli 2022 | 12:12 WIB ",Reporter: Raissa Yulianti," MOMSMONEY.ID - Buncis Krispi Bawang Putih adalah salah satu masakan Tionghoa yang lezat dan bergizi.  Bagi Anda yang tak tahu mungkin akan menyangkan bahwa hidangan ini adalah hidangan gorengan. Tapi jangan salah, hidangan ini merupakan camilan sayur yang dimasak dengan 2 cara berbeda!         Cara pembuatannya cukup unik. Pertama-tama, buncis akan dibalut tepung dan digoreng hingga renyah. Setelah itu, barulah menumis aneka kuah berbumbu yang nantinya akan disiramkan langsung ke atas buncis krispi!  Baca Juga: Resep Pecak Ikan Nila Khas Betawi yang Bikin Ngiler   Membuat Buncis Krispi Bawang Putih ini hanya memerlukan waktu selama 20 menit saja. Tergolong simpel dan sangat mudah dibuat.  Melansir dari laman Maggi, ini dia resep Buncis Krispi Bawang Putih!    Baca Juga: Resep Nasi Goreng Kampung Komplet Ala Hotel Kreasi Chef Devina Hermawan   Bahan:  500 gram buncis mini 75 gram tepung terigu 75 gram tepung beras 100 ml air dingin untuk tepung 8 siung bawang putih, cincang 1 buah cabai merah, buang bijinya lalu iris tipis 5 lembar daun jeruk, iris 1 sdt penyedap rasa ayam 1 sdm saus tiram ½ sdt gula pasir 75 ml air untuk menumis ¼ sdt merica 2 sdm minyak goreng segar  Baca Juga: Beda Tekstur Daging hingga Warna, Ini Perbedaan Ayam Kampung dan Ayam Negeri   Cara Membuat Buncis Krispi Bawang Putih:  Campurkan tepung terigu, tepung beras, dan penyedap dalam satu wadah, beri air dan aduk rata. Celup buncis ke dalam adonan tepung, lalu goreng dalam minyak panas. Goreng hingga tepung jadi krispi. Angkat dan tiriskan. Panaskan 2 sdm minyak goreng segar lalu tumis bawang putih sampai harum. Masukkan cabai merah dan daun jeruk, aduk merata. Masukkan gula, merica, saus tiram, dan air. masak sampai keluar aroma daun jeruk. Angkat. Siram hasil tumisan ke atas buncis yang sudah digoreng Sajikan Buncis Krispi Bawang Putih saat masih panas!  Cek Berita dan Artikel yang lain di Google News              Editor: Raissa Yulianti                                   INDEKS BERITA         Buncis Krispi Bawang Putih Buncis Krispi resep masakan Masakan Tionghoa                        "
3,"Resep Buncis Krispi Bawang Putih, Harum dan Nikmat di Lidah"," Jumat, 29 Juli 2022 | 12:12 WIB ",Reporter: Raissa Yulianti," MOMSMONEY.ID - Buncis Krispi Bawang Putih adalah salah satu masakan Tionghoa yang lezat dan bergizi.  Bagi Anda yang tak tahu mungkin akan menyangkan bahwa hidangan ini adalah hidangan gorengan. Tapi jangan salah, hidangan ini merupakan camilan sayur yang dimasak dengan 2 cara berbeda!         Cara pembuatannya cukup unik. Pertama-tama, buncis akan dibalut tepung dan digoreng hingga renyah. Setelah itu, barulah menumis aneka kuah berbumbu yang nantinya akan disiramkan langsung ke atas buncis krispi!  Baca Juga: Resep Pecak Ikan Nila Khas Betawi yang Bikin Ngiler   Membuat Buncis Krispi Bawang Putih ini hanya memerlukan waktu selama 20 menit saja. Tergolong simpel dan sangat mudah dibuat.  Melansir dari laman Maggi, ini dia resep Buncis Krispi Bawang Putih!    Baca Juga: Resep Nasi Goreng Kampung Komplet Ala Hotel Kreasi Chef Devina Hermawan   Bahan:  500 gram buncis mini 75 gram tepung terigu 75 gram tepung beras 100 ml air dingin untuk tepung 8 siung bawang putih, cincang 1 buah cabai merah, buang bijinya lalu iris tipis 5 lembar daun jeruk, iris 1 sdt penyedap rasa ayam 1 sdm saus tiram ½ sdt gula pasir 75 ml air untuk menumis ¼ sdt merica 2 sdm minyak goreng segar  Baca Juga: Beda Tekstur Daging hingga Warna, Ini Perbedaan Ayam Kampung dan Ayam Negeri   Cara Membuat Buncis Krispi Bawang Putih:  Campurkan tepung terigu, tepung beras, dan penyedap dalam satu wadah, beri air dan aduk rata. Celup buncis ke dalam adonan tepung, lalu goreng dalam minyak panas. Goreng hingga tepung jadi krispi. Angkat dan tiriskan. Panaskan 2 sdm minyak goreng segar lalu tumis bawang putih sampai harum. Masukkan cabai merah dan daun jeruk, aduk merata. Masukkan gula, merica, saus tiram, dan air. masak sampai keluar aroma daun jeruk. Angkat. Siram hasil tumisan ke atas buncis yang sudah digoreng Sajikan Buncis Krispi Bawang Putih saat masih panas!  Cek Berita dan Artikel yang lain di Google News              Editor: Raissa Yulianti                                   INDEKS BERITA         Buncis Krispi Bawang Putih Buncis Krispi resep masakan Masakan Tionghoa                        "
4,Cara Konsumsi Daun Bawang yang Tepat agar Efektif Menurunkan Berat Badan ," Jumat, 29 Juli 2022 | 11:30 WIB   Reporter: Tri Sulistiowati ",Reporter: Raissa Yulianti,"  KONTAN.CO.ID - JAKARTA. Menurunkan berat badan tidak semudah membalikkan telapak tangan. Daun bawang efektif membantu menurunkan berat badan, ini cara konsumsinya.    Memiliki berat badan ideal menjadi impian kebanyakan orang.          Baca Juga: 6 Makanan Ini Baik dan Aman Dikonsumsi Saat Diet   Olahraga, menjaga pola makan, dan gaya hidup yang sehat jadi cara untuk menurunkan berat badan.   Perlu Anda tahu, beberapa jenis bahan makanan bisa membantu menurunkan berat badan.   Mengutip dari WebMD, daun bawang efektif membantu menurunkan berat badan.   Sekedar info, daun bawang mengandung mangan, folat, vitamin C, B6, dan serat.   Dalam satu cup daun bawang mengandung sekitar 2 gram serat, 1 gram protein, 0 gram lemak, dan 54 kalori.   Kandungan kalori daun bawang yang rendah aman terhadap berat badan.   Selain itu, kandungan serat dan air dalam daun bawang bisa memberikan rasa kenyang lebih lama. Dengan begitu, Anda cenderung tidak makan berlebihan.   Mengutip dari Healthline, daun bawang mengandung serat larut yang membentuk gel di usus yang efektif mengurangi rasa lapar dan nafsu makan.  Cara konsumsi daun bawang  Anda bisa mengonsumsi daun bawang secara langsung. Opsi lainnya, Anda tambahkan daun bawang dalam makanan sehat seperti salad.   Anda pun bisa merebus atau menganggang daun bawang sebelum mengonsumsinya.   Jangan lupa Anda tetap menjalankan gaya hidup sehat serta menjaga pola makan, agar berat badan cepat turun dan terkontrol. Selamat mencoba.   Baca Juga: 5 Manfaat Air Kelapa, Salah Satunya Meredakan Asam Lambung Tinggi   Cek Berita dan Artikel yang lain di Google News             Editor: Tri Sulistiowati                                   INDEKS BERITA                          Tag    Berat Badan Cara Cepat Menurunkan Berat Badan cara menurunkan berat badan unlisted Jangan Lewatkan Daun Bawang Menurunkan Berat Badan               "
5,Resep Sayap Ayam Goreng Oseng Bawang yang Harum dan Sedap," Rabu, 27 Juli 2022 | 09:00 WIB ",Reporter: Raissa Yulianti," MOMSMONEY.ID - Sudah tahu mau masak apa untuk hari ini? Sayap Ayam Goreng Oseng Bawang bisa jadi pilihan untuk makan bareng keluarga.  Agar ayam jadi gurih, marinasi terlebih dahulu ayam dengan bumbu marinasi selama 30 menit. Hidangan sayap ayam ini tambah nikmat karena berlumur sambal bawang yang pedas dan gurih.         Langsung saja simak resep Sayap Ayam Goreng Oseng Bawang yang dilansir dari kanal Youtube Devina Hermawan, berikut ini!  Bahan marinasi:  10 pcs sayap ayam 5 siung bawang putih halus 1 butir telur 1 sdm cuka/air jeruk lemon 1 sdt baking powder, opsional 6 sdm tepung tapioka 2 sdt kaldu 1 sdt garam ½ sdm gula ½ sdt merica 2 saset terasi  Baca Juga: Resep Rujak Juhi, Jajanan Langka dari Betawi Berisi Mi Kuning dan Taburan Cumi Kering   Bahan sambal bawang:  100 gram bawang merah kecil utuh 3 siung bawang putih halus   2 batang daun bawang 15 buah cabai rawit merah 10 buah cabai rwit hijau 50 ml air 1 sdm saus tiram ¼ sdt garam ½ sdm gula ¼ sdt kaldu bubuk/penyedap Nasi putih  Baca Juga: Coba 7 Cara Efektif Ini Untuk Memperbaiki Rasa Masakan yang Terlalu Asin   Langkah Memasak:  Belah ayam jadi 2 lalu marinasi dengan bawang putih halus, telur, tepung tapioka, cuka, baking powder, kaldu ayam, garam, gula, dan merica. Aduk rata. Bakar terasi, hamcurkan lalu masukkan ke dalam ayam sambil disaring. Aduk rata dan diamkan minimal 30 menit Panaskan minyak goreng lalu goreng ayam hingga kecoklatan. Tiriskan. Potong daun bawang, cabai rawit merah, dan cabai rawit hijau seukuran dengan bawang merah. Panaskan sedikit minyak goreng, tumis bawang putih halus, masak sesaat lalu masukkan bawang merah dan daun bawang bagian putih. Tumis hingga wangi. Masukkan air, saus tiram, garam, gula, dan kaldu bubuk. Masak sesaat lalu masukkan cabai rawit merah, cabai rawit hijau, dan sisa daun bawang. Aduk rata. Sayap Ayam Goreng Oseng Bawang siap disajikan.  Cek Berita dan Artikel yang lain di Google News              Editor: Raissa Yulianti                                   INDEKS BERITA         Sayap Ayam Goreng Oseng Bawang resep ayam resep masakan Resep Masakan Ayam Pedas                        "
6,"7 Manfaat Bawang Merah Untuk Kesehatan, Mampu Melancarkan Pencernaan"," Jumat, 15 Juli 2022 | 07:53 WIB   Penulis: Ryan Suherlan ",Reporter: Raissa Yulianti,"  KONTAN.CO.ID - Bawang merah kerap dijadikan bahan pelangkap suatu makanan. Selain itu, mengkonsumsi bawang merah juga memberikan banyak manfaat untuk kesehatan loh.   Nutrisi yang dikandung bawang merah di antaranya vitamin C, vitamin K, protein, zat beso, kalsium, magnesium, kalium, serat, zinc dan masih banyak lagi. Oleh karena tidak heran mengkonsum bawang merah baik untuk kesehatan tubuh.          Bawang merah bisa disajikan sebagai bahan bumbu masakan. Namun, ternyata bawang merah juga dapat dikonsumsi secara langsung atau mental loh.  Baca Juga: 5 Gejala Kolesterol Tinggi yang Perlu Anda Waspadai, Apa Saja?   Melansir dari Daily Record, ada beberapa manfaat mengkonsumsi bawang merah mentah bagi kesehatan yang perlu Anda ketahui.   Menyembuhkan Sakit Tenggorokan  Ini mungkin terdengar cukup menjijikkan, tetapi berkumur dengan jus bawang akan membantu meredakan rasa sakit yang muncul akibat sakit tenggorokan. Manfaat bawang merah tersebut dikarenakan adanya antioksidan dan vitamin yang ditemukan dalam bawang merah.  Melancarkan Pencernaan  Manfaat mengkonsumsi bawang merah selanjutnya yaitu dapat melancarkan pencernaan. Bawang merah adalah sayuran berserat, yang dapat membantu saluran pencernaan Anda lancar.   Satu bawang merah mengandung sekitar 1,5 gram serat sehinggar terhindar dari sembelit.  Baca Juga: Jadwal Final Piala Presiden Leg 2 Borneo FC VS Arema FC, Catat!   Menurunkan Kolesterol Tinggi  Mengkonsumsi bawang merah mentah juga bermanfaat untuk menurunkan kolesterol tinggi loh. Pasalnya, terdapat senyawa dalam bawang merah yang mampu mengurangi kadar kolesterol jahat.  Meredakan Nyeri Sendi  Bawang merah mentah saat di konsumsi juga mempunyai manfaat bisa meredekan nyeri sendi. Hal tersebut dikarenakan bawang merah mengandung antiinflamasi yang mampu menghilangkan peradangan sendi.  Menjaga Kesehatan Jantung  Manfaat bawang merah tidak hanya menurunkan kolesterol, tetapi juga dapat menangkis penyakit jantung dan mencegah pembentukan gumpalan. Selain itu, bawang merah juga dapat membantu menjaga aliran darah dan mengurangi peradangan pada pembuluh darah.  Baca Juga: Cara Mudah Download Reels Instagram Gratis Melalui SnapInsta, Gratis Juga Lo   Menghentikan Pertumbuhan Sel Kanker  Bawang merah penuh dengan senyawa belerang yang melindungi tubuh dari bisul dan mencegah pertumbuhan sel-sel kanker. Selain itu, bawang merah juga mempunyai manfaat terhadap gejala kanker lainnya.  Mengontrol Diabetes  Jika Anda penderita diabetes, Anda harus makan bawang merah mentah karena mempunyai manfaat dapat membantu meningkatkan kadar insulin. Di Eropa dan Asia, bawang merah dan bawang putih mentah sering dianjurkan di antara penderita diabetes.  Cek Berita dan Artikel yang lain di Google News             Editor: Ryan Suherlan                                   INDEKS BERITA                          Tag    bawang merah Khasiat Bawang Merah Manfaat bawang merah Mnegkonsumsi Bawang Merah Mentah unlisted Jangan Lewatkan               "
7,"7 Manfaat Bawang Merah Untuk Kesehatan, Mampu Melancarkan Pencernaan"," Jumat, 15 Juli 2022 | 07:53 WIB   Penulis: Ryan Suherlan ",Reporter: Raissa Yulianti,"  KONTAN.CO.ID - Bawang merah kerap dijadikan bahan pelangkap suatu makanan. Selain itu, mengkonsumsi bawang merah juga memberikan banyak manfaat untuk kesehatan loh.   Nutrisi yang dikandung bawang merah di antaranya vitamin C, vitamin K, protein, zat beso, kalsium, magnesium, kalium, serat, zinc dan masih banyak lagi. Oleh karena tidak heran mengkonsum bawang merah baik untuk kesehatan tubuh.          Bawang merah bisa disajikan sebagai bahan bumbu masakan. Namun, ternyata bawang merah juga dapat dikonsumsi secara langsung atau mental loh.  Baca Juga: 5 Gejala Kolesterol Tinggi yang Perlu Anda Waspadai, Apa Saja?   Melansir dari Daily Record, ada beberapa manfaat mengkonsumsi bawang merah mentah bagi kesehatan yang perlu Anda ketahui.   Menyembuhkan Sakit Tenggorokan  Ini mungkin terdengar cukup menjijikkan, tetapi berkumur dengan jus bawang akan membantu meredakan rasa sakit yang muncul akibat sakit tenggorokan. Manfaat bawang merah tersebut dikarenakan adanya antioksidan dan vitamin yang ditemukan dalam bawang merah.  Melancarkan Pencernaan  Manfaat mengkonsumsi bawang merah selanjutnya yaitu dapat melancarkan pencernaan. Bawang merah adalah sayuran berserat, yang dapat membantu saluran pencernaan Anda lancar.   Satu bawang merah mengandung sekitar 1,5 gram serat sehinggar terhindar dari sembelit.  Baca Juga: Jadwal Final Piala Presiden Leg 2 Borneo FC VS Arema FC, Catat!   Menurunkan Kolesterol Tinggi  Mengkonsumsi bawang merah mentah juga bermanfaat untuk menurunkan kolesterol tinggi loh. Pasalnya, terdapat senyawa dalam bawang merah yang mampu mengurangi kadar kolesterol jahat.  Meredakan Nyeri Sendi  Bawang merah mentah saat di konsumsi juga mempunyai manfaat bisa meredekan nyeri sendi. Hal tersebut dikarenakan bawang merah mengandung antiinflamasi yang mampu menghilangkan peradangan sendi.  Menjaga Kesehatan Jantung  Manfaat bawang merah tidak hanya menurunkan kolesterol, tetapi juga dapat menangkis penyakit jantung dan mencegah pembentukan gumpalan. Selain itu, bawang merah juga dapat membantu menjaga aliran darah dan mengurangi peradangan pada pembuluh darah.  Baca Juga: Cara Mudah Download Reels Instagram Gratis Melalui SnapInsta, Gratis Juga Lo   Menghentikan Pertumbuhan Sel Kanker  Bawang merah penuh dengan senyawa belerang yang melindungi tubuh dari bisul dan mencegah pertumbuhan sel-sel kanker. Selain itu, bawang merah juga mempunyai manfaat terhadap gejala kanker lainnya.  Mengontrol Diabetes  Jika Anda penderita diabetes, Anda harus makan bawang merah mentah karena mempunyai manfaat dapat membantu meningkatkan kadar insulin. Di Eropa dan Asia, bawang merah dan bawang putih mentah sering dianjurkan di antara penderita diabetes.  Cek Berita dan Artikel yang lain di Google News             Editor: Ryan Suherlan                                   INDEKS BERITA                          Tag    bawang merah Khasiat Bawang Merah Manfaat bawang merah Mnegkonsumsi Bawang Merah Mentah unlisted Jangan Lewatkan               "
8,Resep Tumis Daging Sapi Bawang Bombay yang Super Praktis," Senin, 11 Juli 2022 | 08:55 WIB ",Sumber: Primarasa," MOMSMONEY.ID - Masih tersisa daging kurban yang belum dimasak? Coba masak jadi Tumis Daging Sapi Bawang Bombay saja.  Hidangan Tumis Daging Sapi Bawang Bombay ini sangat pas disajikan hangat-hangat untuk sarapan, terlebih jika disantapnya bareng nasi putih.         Memasaknya pun sangat mudah. Hanya butuh waktu 20 menit untuk dapat sajikan 4 porsi Tumis Daging Sapi Bawang Bombay.  Langsung intip resep Tumis Daging Sapi Bawang Bombay yang dilansir dari Primarasa berikut ini!  Baca Juga: Resep Membuat Olahan Daging Teriyaki yang Bumbunya Super Meresap   Bahan:  300 g daging has dalam 1 cm jahe muda 2 siung bawang putih 125 g bawang bombai 2 sdt air jeruk lemon 2 sdm minyak goreng  Baca Juga: Resep Nikmatnya Sate Kambing Bumbu Kecap di Momen Idul Adha   Saus (campur jadi satu):  30 ml saus cabai manis ½ sdt minyak wijen 1 sdm kecap ikan 1 sdm angciu 2 sdm air ¼ sdt garam (bila perlu)  Baca Juga: Resep Tahu Cobek Bumbu Marinasi, Masakan Nikmat yang Aromanya Sangat Harum   Cara Memasak Tumis Daging Sapi Bawang Bombay:  Iris-iris daging ukuran ½ x 3 x 5 cm, sisihkan. Cincang halus jahe dan bawang putih. Kupas bawang bombai, belah dua memanjang, kemudian iris memanjang ukuran 1 cm. Campur daging, jahe, dan bawang putih, aduk rata. Masukkan air jeruk lemon, remas-remas daging supaya bumbu meresap. Sisihkan ± 10 menit dalam wadah tertutup. Panaskan minyak goreng dalam wajan, tumis daging berbumbu di dalamnya, aduk hingga daging berubah warna. Masukkan bawang bombay, aduk. Tuang campuran saus ke dalamnya, aduk hingga semua bahan cukup matang, angkat. Pindahkan masakan ke dalam wadah saji, hidangkan selagi hangat. Tumis Daging Sapi Bawang Bombay siap disajikan!  Cek Berita dan Artikel yang lain di Google News              Editor: Raissa Yulianti                                   INDEKS BERITA         Tumis Daging Sapi Bawang Bombay  Resep Tumis Daging Sapi Bawang Bombay  resep masakan resep daging                        "
9,"Menurunkan Kolesterol sampai Gula Darah, Ini Manfaat Bawang Merah untuk Kesehatan"," Rabu, 29 Juni 2022 | 17:15 WIB   Reporter: Tri Sulistiowati ",Sumber: Primarasa,"  KONTAN.CO.ID - JAKARTA. Bawang merah tak hanya jadi taburan makanan. Ini manfaat bawang merah untuk kesahatan, mulai dari menurunkan kolesterol sampai gula darah.   Bawang merah juga jadi bumbu masak yang wajib ada di dapur. Tidak heran, aroma bawang merah yang khas membuat masakan menjadi lebih nikmat.           Baca Juga: Menurunkan Kolesterol Sampai Berat Badan, Ini Manfaat Pare untuk Kesehatan   Nyatanya, bawang merah tidak hanya jadi taburan dan bumbu masakan tapi juga memberikan banyak manfaat untuk kesehatan.    Mengutip dari buku berjudul Bawang Merah karya Estu Rahayu dan Nur Belian V.A, dalam 100 gram bawang merah mengandung:    Air 88 gram   Karbohidrat 9,2 gram   Protein 1,5 gram   Lemak 0,3 gram   Vitamin B1 0,03 miligram   Vitamin C 2 miligram   Kalsium  36 miligram   Besi 0,8 miligram   Fosfor 40,00 miligram   Energi 39 kalori    Dalam umbi bawang merah mengandung Allin yang tidak berbau, tidak berwarna, dan larut dalam air.    Kandungan itulah yang membuat bawang merah kerab dimanfaatkan sebagai obat herbal.   Manfaat bawang merah untuk kesehatan   Bawang merah sudah digunakan dalam pengobatan alternatif sejak zaman dahulu.   Berikut manfaat bawang merah untuk kesehatan:   1. Memelihara kesehatan jantung    Melansir dari Healthline, bawang merah bersifat antiinflamasi yang mampu mengurangi pengumpalan darah serta menurunkan tekanan darah.  Hal tersebut berdampak baik untuk kesehatan jantung.    2. Mengontrol kadar kolesterol    Menurut buku Kiat Sukses Budidaya Bawang Merah karya Noor Fajjriyah, kandungan Allisin dalam bawang merah bermanfaat untuk mengurangi produksi kolesterol dalam tubuh.    4. Mengobati luka    Bawang merah bisa menyembuhkan luka di permukaan kulit Anda. Caranya, Anda iris tipis-tipis umbi bawang merah lalu campurkan dengan minyak kelapa dan garam.    Setelah itu, Anda rebus semua bahan sampai mendidih. Setelah dingin, Anda bubuhkan ramuan tersebut di area yang terluka.    Pengobatan herbal menggunakan bawang merah ini dilakukan tiga kali sehari.   5. Diabetes    Bawang merah mengandung kromium yang bisa menurunkan kadar gula darah dalam tubuh.    Dari hasil penelitian disimpulkan bawang merah dengan dosis 250 mg/kg BB menyebabkan menurunkan kadar gula normal sekitar 23,46%.    6. Mencegah kanker    Bawang merah mengandung allisin yang mampu mencegah tumbuhnya sel kanker, terutama untuk kanker kolorektal.   Selain itu, vitamin C dalam bawang merah berfungsi sebagai antioksidan yang membantu menangkal radikal bebas serta meningkatkan daya tahan tubuh.    Journal of National Cancer Institute menyebutkan seseorang yang mengonsumsi sayuran mengandung allisin berisiko rendah terkena kanker prostat.    7. Menjaga kesehatan sistem pencernaan    Bawang merah mengandung serat dan prebiotik yang bermanfaat untuk menjaga kesehatan sistem pencernaan.    8. Menjaga kesehatan tulang   Mengutip dari Kompas.com, bawang merah bisa membantu mencegah osteoporosis.   Hasil dalam sebuah penelitian menunjukkan perempuan yang medekati atau melewati masa menopause memiliki kepadatan tulan yang baik dengan mengonsumsi bawang merah setiap hari.  Baca Juga: Mengontrol Gula Darah, Ini Cara Konsumsi Bawang Putih untuk Penderita Diabetes   Cek Berita dan Artikel yang lain di Google News             Editor: Tri Sulistiowati                                   INDEKS BERITA                          Tag    unlisted Jangan Lewatkan Bawang Merah  Kolesterol  diabetes  Kesehatan Jantung  Kesehatan Tulang               "
